"name","acronym"
"IEEE Journal on Selected Areas in Communications","JSAC"
"IEEE Transactions on Mobile Computing","TMC"
"IEEE Transactions on Networking","TON"
"IEEE Transactions on Parallel and Distributed Systems","TPDS"
"IEEE Transactions on Computers","TC"
"IEEE Transactions on Communications","TCOM"
"IEEE Transactions on Wireless Communications","TWC"
"IEEE Transactions on Visualization and Computer Graphics","VCG"
"IEEE Transactions on Computer-Aided Design of Integrated Circuits And System","TCAD"
"IEEE Transactions on Very Large Scale Integration (VLSI) Systems"," TVLSI"
"IEEE Transactions on Cloud Computing","TCC"
"IEEE Transactions on Network and Service Management","TNSM"
"IEEE Transactions on Dependable and Secure Computing","TDSC"
"IEEE Transactions on Information Forensics and Security","TIFS"
"IEEE Transactions on Software Engineering","TSE"
"IEEE Transactions on Service Computing","TSC"
"IEEE Transactions on Knowledge and Data Engineering","TKDE"
"IEEE Transactions on Information Theory","TIT"
"IEEE Transactions on Image Processing","TIP"
"IEEE Trans on Pattern Analysis and Machine Intelligence","TPAMI"
"Proceedings of the IEEE","Proc. IEEE"
"ACM Transactions on Computer Systems","TOCS"
"ACM Transactions on Storage","TOS"
"ACM Transactions on Architecture and Code Optimization","TACO"
"ACM Transactions on Autonomous and Adaptive Systems","TAAS"
"ACM Transactions on Design Automation of Electronic Systems","TODAES"
"ACM Transactions on Embedded Computing Systems","TECS"
"ACM Transactions on Reconfigurable Technology and Systems","TRETS"
"ACM Journal on Emerging Technologies in Computing Systems","JETC"
"ACM Transactions on Internet Technology","TOIT"
"ACM Transactions on Multimedia Computing, Communications and Applications","TOMCCAP"
"ACM Transactions on Sensor Networks","TOSN"
"ACM Transactions on Privacy and Security","TOPS"
"ACM Transactions on Programming Languages & Systems","TOPLAS"
"ACM Transactions on Software Engineering and Methodology","TOSEM"
"ACM Transactions on Database Systems","TODS"
"ACM Transactions on Information Systems","TOIS"
"ACM Transactions on Knowledge Discovery from Data","TKDD"
"ACM Transactions on the Web","TWEB"
"ACM Transactions on Algorithms","TALG"
"Journal of the ACM","JACM"
"Communications of the ACM","CACM"
"Journal of Parallel and Distributed Computing","JPDC"
"Journal of Systems Architecture: Embedded Software Design","JSA"
"Parallel Computing","PARCO"
"Performance Evaluation","PVAL"
"Concurrency and Computation: Practice and Experience","CCPE"
"Distributed Computing","DC"
"Future Generation Computer Systems","FGCS"
"Integration, the VLSI Journal","Integration"
"Journal of Electronic Testing-Theory and Applications","JETTA"
"Journal of Grid computing","JGC"
"Microprocessors and Microsystems: Embedded Hardware Design","MICPRO"
"Real-Time Systems","RTS"
"The Journal of Supercomputing","TJSC"
"Computer Networks","CN"
"Computer Communications","CC"
"Journal of Network and Computer Applications","JNCA"
"Mobile Networks & Applications","MONET"
"Wireless Communications & Mobile Computing","WCMC"
"Automated Software Engineering","ASE"
"Theoretical Computer Science","TCS"